"FIELD_DBNAME";"RULE_ID";"RULE_IN";"RULE_OUT"
"Время_выхода_часы_01";"301878";"1";"0"
"Время_выхода_минуты_01";"301878";"1";"0"
"Время_выхода_01";"301878";"0";"1"
"Время_входа_часы_01";"301881";"1";"0"
"Время_входа_минуты_01";"301881";"1";"0"
"Время_входа_01";"301881";"0";"1"
"Время_выхода_01";"301884";"1";"0"
"Время_входа_01";"301884";"1";"0"
"Время_выхода_часы_02";"301887";"1";"0"
"Время_выхода_минуты_02";"301887";"1";"0"
"Время_выхода_02";"301887";"0";"1"
"Время_входа_часы_02";"301890";"1";"0"
"Время_входа_минуты_02";"301890";"1";"0"
"Время_входа_02";"301890";"0";"1"
"Время_выхода_02";"301893";"1";"0"
"Время_входа_02";"301893";"1";"0"
"Время_выхода_часы_03";"301896";"1";"0"
"Время_выхода_минуты_03";"301896";"1";"0"
"Время_выхода_03";"301896";"0";"1"
"Время_входа_часы_03";"301899";"1";"0"
"Время_входа_минуты_03";"301899";"1";"0"
"Время_входа_03";"301899";"0";"1"
"Время_выхода_03";"301902";"1";"0"
"Время_входа_03";"301902";"1";"0"
"Время_выхода_часы_04";"301905";"1";"0"
"Время_выхода_минуты_04";"301905";"1";"0"
"Время_выхода_04";"301905";"0";"1"
"Время_входа_часы_04";"301908";"1";"0"
"Время_входа_минуты_04";"301908";"1";"0"
"Время_входа_04";"301908";"0";"1"
"Время_выхода_04";"301911";"1";"0"
"Время_входа_04";"301911";"1";"0"
"Время_выхода_часы_05";"301914";"1";"0"
"Время_выхода_минуты_05";"301914";"1";"0"
"Время_выхода_05";"301914";"0";"1"
"Время_входа_часы_05";"301917";"1";"0"
"Время_входа_минуты_05";"301917";"1";"0"
"Время_входа_05";"301917";"0";"1"
"Время_выхода_05";"301920";"1";"0"
"Время_входа_05";"301920";"1";"0"
"Время_выхода_часы_06";"301923";"1";"0"
"Время_выхода_минуты_06";"301923";"1";"0"
"Время_выхода_06";"301923";"0";"1"
"Время_входа_часы_06";"301926";"1";"0"
"Время_входа_минуты_06";"301926";"1";"0"
"Время_входа_06";"301926";"0";"1"
"Время_выхода_06";"301929";"1";"0"
"Время_входа_06";"301929";"1";"0"
"Время_выхода_часы_07";"301932";"1";"0"
"Время_выхода_минуты_07";"301932";"1";"0"
"Время_выхода_07";"301932";"0";"1"
"Время_входа_часы_07";"301935";"1";"0"
"Время_входа_минуты_07";"301935";"1";"0"
"Время_входа_07";"301935";"0";"1"
"Время_выхода_07";"301938";"1";"0"
"Время_входа_07";"301938";"1";"0"
"Время_выхода_часы_08";"301941";"1";"0"
"Время_выхода_минуты_08";"301941";"1";"0"
"Время_выхода_08";"301941";"0";"1"
"Время_входа_часы_08";"301944";"1";"0"
"Время_входа_минуты_08";"301944";"1";"0"
"Время_входа_08";"301944";"0";"1"
"Время_выхода_08";"301947";"1";"0"
"Время_входа_08";"301947";"1";"0"
"Время_выхода_часы_09";"301950";"1";"0"
"Время_выхода_минуты_09";"301950";"1";"0"
"Время_выхода_09";"301950";"0";"1"
"Время_входа_часы_09";"301953";"1";"0"
"Время_входа_минуты_09";"301953";"1";"0"
"Время_входа_09";"301953";"0";"1"
"Время_выхода_09";"301956";"1";"0"
"Время_входа_09";"301956";"1";"0"
"Время_выхода_часы_10";"301959";"1";"0"
"Время_выхода_минуты_10";"301959";"1";"0"
