"FIELD_DBNAME";"FIELD_NAME";"FIELD_TYPE";"LEFT";"TOP";"RIGHT";"BOTTOM";"NUMBER";"USE_DEFAULTS";"LANGUAGE";"TEXT_TYPE";"MARKING_TYPE";"MARKING_BOX_NUMBER";"EXPORTED";"ONE_LINE_FIELD";"USER_PATTERN";"CASE_MODE";"IDENTIFY_VALUE";"ERROR_LEVEL";"STANDARD_PATTERN";"CLEAN_IMAGE";"ALLOW_SPACES";"LOCALY_ADJUST";"VERIFICATION_LEVEL";"VERIFICATION_FRAGMENT";"GROUP_VERIFICATION_MODE";"BARCODETYPE";"INPUT_MASK";"PREDEFINED_FIELD_TYPE";"BOX_ID";"PARENT_RADIOGROUP_BOX_ID";"CUSTOM_DATA"
"";"";"FT_DEFAULT";"-1";"-1";"-1";"-1";"-1";"-1";"Русский\Служебные\Только цифры";"TT_HANDPRINT";"MT_SIMPLETEXT";"-1";"-1";"-1";"";"CM_SMALL";"";"";"1";"0";"1";"-1";"VL_ERRORS_ONLY";"";"0";"";"";"";"-1";"-1";"0"
"Номер_изображения";"Номер_изображения";"FT_PREDEFINED";"0";"0";"0";"0";"0";"-1";"";"";"";"-1";"1";"-1";"";"";"";"";"-1";"-1";"-1";"-1";"";"";"-1";"";"";"PFT_PAGE_NUMBER";"6806";"-1";"0"
"Код_1";"Код_1";"FT_BARCODE";"82";"503";"822";"682";"1";"-1";"";"";"";"-1";"1";"-1";"";"";"";"";"-1";"-1";"-1";"-1";"";"";"-1";"B_EAN13";"";"";"2076";"-1";"0"
"Код_2";"Код_2";"FT_BARCODE";"2246";"82";"2409";"698";"2";"-1";"";"";"";"-1";"0";"-1";"";"";"";"";"-1";"-1";"-1";"-1";"";"";"-1";"B_EAN13";"";"";"2077";"-1";"0"
"Регион";"Регион";"FT_TEXT";"569";"300";"710";"396";"3";"0";"Русский\Служебные\Только цифры";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_DELAYED";"VF_WHOLLY";"0";"";"";"";"2078";"-1";"0"
"Код_предмета";"Код_предмета";"FT_TEXT";"771";"299";"909";"395";"4";"0";"Русский\Служебные\Только цифры";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_DELAYED";"VF_WHOLLY";"0";"";"";"";"2079";"-1";"0"
"Название_предмета";"Название_предмета";"FT_TEXT";"974";"298";"1184";"396";"5";"0";"Русский\Служебные\Название_предмета";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_DELAYED";"VF_WHOLLY";"0";"";"";"";"2080";"-1";"0"
"Номер_варианта";"Номер_варианта";"FT_PREDEFINED";"0";"0";"0";"0";"6";"-1";"";"";"";"-1";"1";"-1";"";"";"";"";"-1";"-1";"-1";"-1";"";"";"-1";"";"";"PFT_EMPTY";"6810";"-1";"0"
"РезервV";"РезервV";"FT_TEXT";"1932";"297";"2146";"394";"7";"0";"Русский\Служебные\Только цифры";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"2081";"-1";"0"
"В01";"В01";"FT_TEXT";"156";"860";"1236";"954";"8";"0";"0-9";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"4385";"-1";"0"
"В02";"В02";"FT_TEXT";"156";"955";"1236";"1047";"9";"0";"кириллица,дефисы";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"1";"0";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"4386";"-1";"0"
"В03";"В03";"FT_TEXT";"156";"1047";"1236";"1139";"10";"0";"0-9";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"4387";"-1";"0"
"В04";"В04";"FT_TEXT";"156";"1139";"1236";"1231";"11";"0";"кириллица,дефисы";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"1";"0";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"4388";"-1";"0"
"В05";"В05";"FT_TEXT";"156";"1231";"1236";"1327";"12";"0";"кириллица,дефисы";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"1";"0";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"4389";"-1";"0"
"В06";"В06";"FT_TEXT";"158";"1350";"1238";"1444";"13";"0";"кириллица,дефисы";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"1";"0";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"4390";"-1";"0"
"В07";"В07";"FT_TEXT";"158";"1444";"1238";"1537";"14";"0";"кириллица,дефисы";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"1";"0";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"4391";"-1";"0"
"В08";"В08";"FT_TEXT";"158";"1537";"1238";"1629";"15";"0";"0-9";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"4392";"-1";"0"
"В09";"В09";"FT_TEXT";"158";"1629";"1238";"1721";"16";"0";"0-9";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"4393";"-1";"0"
"В10";"В10";"FT_TEXT";"158";"1721";"1238";"1816";"17";"0";"0-9";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"4394";"-1";"0"
"В11";"В11";"FT_TEXT";"157";"1848";"1238";"1943";"18";"0";"0-9";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"4395";"-1";"0"
"В12";"В12";"FT_TEXT";"157";"1943";"1238";"2032";"19";"0";"0-9";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"4396";"-1";"0"
"В13";"В13";"FT_TEXT";"157";"2035";"1238";"2126";"20";"0";"кириллица,дефисы";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"1";"0";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"6791";"-1";"0"
"В14";"В14";"FT_TEXT";"157";"2126";"1238";"2218";"21";"0";"кириллица,дефисы";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"1";"0";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"6790";"-1";"0"
"В15";"В15";"FT_TEXT";"157";"2218";"1238";"2315";"22";"0";"0-9";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"6789";"-1";"0"
"В16";"В16";"FT_TEXT";"154";"2335";"1235";"2430";"23";"0";"0-9";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"6788";"-1";"0"
"В17";"В17";"FT_TEXT";"154";"2430";"1235";"2522";"24";"0";"0-9";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"6787";"-1";"0"
"В18";"В18";"FT_TEXT";"154";"2522";"1235";"2614";"25";"0";"0-9";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"6786";"-1";"0"
"В19";"В19";"FT_TEXT";"154";"2614";"1235";"2705";"26";"0";"0-9";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"6785";"-1";"0"
"В20";"В20";"FT_TEXT";"154";"2705";"1235";"2800";"27";"0";"0-9";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"6784";"-1";"0"
"Замена_задание_В01";"Замена_задание_В01";"FT_TEXT";"132";"2918";"250";"3009";"28";"0";"Замена В";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"4397";"-1";"0"
"Замена_ответ_В01";"Замена_ответ_В01";"FT_TEXT";"269";"2920";"1234";"3010";"29";"0";"кириллица,дефисы|0-9";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"1";"0";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"4398";"-1";"0"
"Замена_задание_В02";"Замена_задание_В02";"FT_TEXT";"128";"3011";"250";"3100";"30";"0";"Замена В";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"4399";"-1";"0"
"Замена_ответ_В02";"Замена_ответ_В02";"FT_TEXT";"272";"3008";"1233";"3098";"31";"0";"кириллица,дефисы|0-9";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"1";"0";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"4400";"-1";"0"
"Замена_задание_В03";"Замена_задание_В03";"FT_TEXT";"128";"3099";"250";"3188";"32";"0";"Замена В";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"6762";"-1";"0"
"Замена_ответ_В03";"Замена_ответ_В03";"FT_TEXT";"272";"3097";"1234";"3185";"33";"0";"кириллица,дефисы|0-9";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"1";"0";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"6764";"-1";"0"
"Замена_задание_В04";"Замена_задание_В04";"FT_TEXT";"1300";"2921";"1417";"3007";"34";"0";"Замена В";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"6763";"-1";"0"
