"RULE_ID";"RULE_NAME";"RULE_TYPE";"RULE_CERTAIN";"RULE_ENABLED";"RULE_TYPE_NAME"
"273468";"Регион (заполнение)";"CExpressionRule";"0";"1";"Проверка с условием"
"273471";"Регион (формат)";"CRegularExpressionRule";"0";"1";"Регулярное выражение"
"273474";"Код предмета (заполнение)";"CExpressionRule";"0";"1";"Проверка с условием"
"273477";"Код предмета (формат)";"CRegularExpressionRule";"0";"1";"Регулярное выражение"
"273480";"Название предмета (заполнение)";"CExpressionRule";"0";"1";"Проверка с условием"
"273483";"Номер протокола (заполнение)";"CExpressionRule";"0";"1";"Проверка с условием"
"273486";"Номер протокола (формат)";"CRegularExpressionRule";"0";"1";"Регулярное выражение"
"273489";"Код эксперта (заполнение)";"CExpressionRule";"0";"1";"Проверка с условием"
"273492";"Код эксперта (формат)";"CRegularExpressionRule";"0";"1";"Регулярное выражение"
"273495";"Фамилия (заполнение)";"CExpressionRule";"0";"1";"Проверка с условием"
"273498";"экзамен - замена";"CSymbolsSubstitutionRule";"0";"1";"Замена символов из списка"
